invoice_id,customer_name,customer_id,invoice_amount,invoice_date,due_date,currency,description,gstin,ground_truth_scenario,expected_match_id
INV-2026-0001,BrightCart Retail,CUST-BCR-001,11000.0,2026-03-08,2026-04-07,INR,Hardware Component Supply Tranche,27AABCB1122C1Z1,exact_match,SET-2026-0001
INV-2026-0002,Nova Foods,CUST-NVF-002,12500.0,2026-01-07,2026-02-06,INR,Professional Audit & Advisory,29AABCN3344D1Z2,exact_match,SET-2026-0002
INV-2026-0003,Aster Labs,CUST-AST-003,144500.0,2026-04-08,2026-05-08,INR,Professional Audit & Advisory,27AABCA5566E1Z3,exact_match,SET-2026-0003
INV-2026-0004,UrbanNest,CUST-URN-004,76000.0,2026-02-07,2026-03-09,INR,Technical Consulting Retainer,24AABCU7788F1Z4,exact_match,SET-2026-0004
INV-2026-0005,Orbit Systems,CUST-ORB-005,585000.0,2026-03-26,2026-04-25,INR,Data Analytics Platform Access,29AABCO9900G1Z5,exact_match,SET-2026-0005
INV-2026-0006,GreenLeaf Supplies,CUST-GLS-006,80000.0,2026-03-19,2026-04-18,INR,Digital Performance Marketing,27AABCG1234H1Z6,exact_match,SET-2026-0006
INV-2026-0007,Vertex Consulting,CUST-VTX-007,1090000.0,2026-01-13,2026-02-12,INR,Technical Consulting Retainer,09AABCV5678J1Z7,exact_match,SET-2026-0007
INV-2026-0008,PixelWorks,CUST-PXW-008,176500.0,2026-03-23,2026-04-22,INR,Quarterly Maintenance Contract,27AABCP9012K1Z8,exact_match,SET-2026-0008
INV-2026-0009,NorthStar Traders,CUST-NST-009,74000.0,2026-02-22,2026-03-24,INR,SaaS Subscription - Growth Tier,19AABCN3456L1Z9,exact_match,SET-2026-0009
INV-2026-0010,BluePeak Technologies,CUST-BPT-010,455000.0,2026-03-03,2026-04-02,INR,Data Analytics Platform Access,36AABCB7890M1ZA,exact_match,SET-2026-0010
INV-2026-0011,Zenith Logistics,CUST-ZNL-011,610000.0,2026-04-05,2026-05-05,INR,Professional Audit & Advisory,27AABCZ2345N1ZB,exact_match,SET-2026-0011
INV-2026-0012,CloudPulse Software,CUST-CPS-012,154000.0,2026-04-12,2026-05-12,INR,SaaS Subscription - Growth Tier,29AABCC6789P1ZC,exact_match,SET-2026-0012
INV-2026-0013,Quantum Electronics,CUST-QEL-013,297500.0,2026-02-26,2026-03-28,INR,Hardware Component Supply Tranche,24AABCQ0123Q1ZD,exact_match,SET-2026-0013
INV-2026-0014,Primal Organics,CUST-PRO-014,1470000.0,2026-03-18,2026-04-17,INR,Freight Forwarding & Transit Fee,27AABCP4567R1ZE,exact_match,SET-2026-0014
INV-2026-0015,Nexus Infotech,CUST-NXI-015,80000.0,2026-04-06,2026-05-06,INR,Warehouse Inventory Ingestion,36AABCN8901S1ZF,exact_match,SET-2026-0015
INV-2026-0016,Apex Global Solutions,CUST-AGS-016,755000.0,2026-03-27,2026-04-26,INR,Quarterly Maintenance Contract,27AABCA2345T1ZG,exact_match,SET-2026-0016
INV-2026-0017,SilverLine Express,CUST-SLX-017,140500.0,2026-01-20,2026-02-19,INR,Digital Performance Marketing,27AABCS6789U1ZH,exact_match,SET-2026-0017
INV-2026-0018,Horizon Media Labs,CUST-HML-018,66500.0,2026-01-03,2026-02-02,INR,Quarterly Maintenance Contract,09AABCH0123V1ZJ,exact_match,SET-2026-0018
INV-2026-0019,Beacon BioTech,CUST-BBT-019,145500.0,2026-02-09,2026-03-11,INR,Warehouse Inventory Ingestion,24AABCB4567W1ZK,exact_match,SET-2026-0019
INV-2026-0020,Synergy Workspace,CUST-SYW-020,640000.0,2026-02-23,2026-03-25,INR,Warehouse Inventory Ingestion,27AABCS8901X1ZL,exact_match,SET-2026-0020
INV-2026-0021,Indus Craftworks,CUST-ICW-021,68000.0,2026-02-03,2026-03-05,INR,Hardware Component Supply Tranche,29AABCI2345Y1ZM,exact_match,SET-2026-0021
INV-2026-0022,Vanguard Security,CUST-VGS-022,23000.0,2026-01-08,2026-02-07,INR,Warehouse Inventory Ingestion,27AABCV6789Z1ZN,exact_match,SET-2026-0022
INV-2026-0023,Pinnacle Pharma,CUST-PNP-023,176000.0,2026-04-07,2026-05-07,INR,Cloud Hosting & Compute Credits,36AABCP0123A1ZP,exact_match,SET-2026-0023
INV-2026-0024,Alpha Matrix Telecom,CUST-AMT-024,715000.0,2026-04-07,2026-05-07,INR,Data Analytics Platform Access,27AABCA4567B1ZQ,exact_match,SET-2026-0024
INV-2026-0025,BrightCart Retail,CUST-BCR-001,191500.0,2026-01-22,2026-02-21,INR,IT Infrastructure Services,27AABCB1122C1Z1,exact_match,SET-2026-0025
INV-2026-0026,Nova Foods,CUST-NVF-002,53500.0,2026-04-05,2026-05-05,INR,IT Infrastructure Services,29AABCN3344D1Z2,exact_match,SET-2026-0026
INV-2026-0027,Aster Labs,CUST-AST-003,145500.0,2026-01-02,2026-02-01,INR,Quarterly Maintenance Contract,27AABCA5566E1Z3,exact_match,SET-2026-0027
INV-2026-0028,UrbanNest,CUST-URN-004,128000.0,2026-02-28,2026-03-30,INR,SaaS Subscription - Growth Tier,24AABCU7788F1Z4,exact_match,SET-2026-0028
INV-2026-0029,Orbit Systems,CUST-ORB-005,1130000.0,2026-04-10,2026-05-10,INR,Quarterly Maintenance Contract,29AABCO9900G1Z5,exact_match,SET-2026-0029
INV-2026-0030,GreenLeaf Supplies,CUST-GLS-006,60500.0,2026-01-19,2026-02-18,INR,SaaS Subscription - Growth Tier,27AABCG1234H1Z6,exact_match,SET-2026-0030
INV-2026-0031,Vertex Consulting,CUST-VTX-007,133500.0,2026-02-02,2026-03-04,INR,Freight Forwarding & Transit Fee,09AABCV5678J1Z7,exact_match,SET-2026-0031
INV-2026-0032,PixelWorks,CUST-PXW-008,457500.0,2026-01-19,2026-02-18,INR,Data Analytics Platform Access,27AABCP9012K1Z8,exact_match,SET-2026-0032
INV-2026-0033,NorthStar Traders,CUST-NST-009,149500.0,2026-03-09,2026-04-08,INR,Digital Performance Marketing,19AABCN3456L1Z9,exact_match,SET-2026-0033
INV-2026-0034,BluePeak Technologies,CUST-BPT-010,176500.0,2026-03-15,2026-04-14,INR,Security & Vulnerability Assessment,36AABCB7890M1ZA,exact_match,SET-2026-0034
INV-2026-0035,Zenith Logistics,CUST-ZNL-011,149000.0,2026-01-03,2026-02-02,INR,Technical Consulting Retainer,27AABCZ2345N1ZB,exact_match,SET-2026-0035
INV-2026-0036,CloudPulse Software,CUST-CPS-012,762500.0,2026-02-12,2026-03-14,INR,Hardware Component Supply Tranche,29AABCC6789P1ZC,exact_match,SET-2026-0036
INV-2026-0037,Quantum Electronics,CUST-QEL-013,1470000.0,2026-01-22,2026-02-21,INR,IT Infrastructure Services,24AABCQ0123Q1ZD,exact_match,SET-2026-0037
INV-2026-0038,Primal Organics,CUST-PRO-014,675000.0,2026-02-09,2026-03-11,INR,Cloud Hosting & Compute Credits,27AABCP4567R1ZE,exact_match,SET-2026-0038
INV-2026-0039,Nexus Infotech,CUST-NXI-015,72500.0,2026-04-09,2026-05-09,INR,SaaS Subscription - Growth Tier,36AABCN8901S1ZF,exact_match,SET-2026-0039
INV-2026-0040,Apex Global Solutions,CUST-AGS-016,38000.0,2026-03-06,2026-04-05,INR,IT Infrastructure Services,27AABCA2345T1ZG,exact_match,SET-2026-0040
INV-2026-0041,SilverLine Express,CUST-SLX-017,181500.0,2026-02-18,2026-03-20,INR,Data Analytics Platform Access,27AABCS6789U1ZH,exact_match,SET-2026-0041
INV-2026-0042,Horizon Media Labs,CUST-HML-018,83500.0,2026-03-26,2026-04-25,INR,Freight Forwarding & Transit Fee,09AABCH0123V1ZJ,exact_match,SET-2026-0042
INV-2026-0043,Beacon BioTech,CUST-BBT-019,148000.0,2026-04-20,2026-05-20,INR,SaaS Subscription - Growth Tier,24AABCB4567W1ZK,exact_match,SET-2026-0043
INV-2026-0044,Synergy Workspace,CUST-SYW-020,90000.0,2026-04-26,2026-05-26,INR,Data Analytics Platform Access,27AABCS8901X1ZL,exact_match,SET-2026-0044
INV-2026-0045,Indus Craftworks,CUST-ICW-021,747500.0,2026-04-08,2026-05-08,INR,Cloud Hosting & Compute Credits,29AABCI2345Y1ZM,exact_match,SET-2026-0045
INV-2026-0046,Vanguard Security,CUST-VGS-022,54000.0,2026-04-11,2026-05-11,INR,Freight Forwarding & Transit Fee,27AABCV6789Z1ZN,exact_match,SET-2026-0046
INV-2026-0047,Pinnacle Pharma,CUST-PNP-023,178500.0,2026-03-01,2026-03-31,INR,SaaS Subscription - Growth Tier,36AABCP0123A1ZP,exact_match,SET-2026-0047
INV-2026-0048,Alpha Matrix Telecom,CUST-AMT-024,116000.0,2026-03-24,2026-04-23,INR,Data Analytics Platform Access,27AABCA4567B1ZQ,exact_match,SET-2026-0048
INV-2026-0049,BrightCart Retail,CUST-BCR-001,320000.0,2026-03-02,2026-04-01,INR,Technical Consulting Retainer,27AABCB1122C1Z1,exact_match,SET-2026-0049
INV-2026-0050,Nova Foods,CUST-NVF-002,175000.0,2026-03-20,2026-04-19,INR,Freight Forwarding & Transit Fee,29AABCN3344D1Z2,exact_match,SET-2026-0050
INV-2026-0051,Aster Labs,CUST-AST-003,108000.0,2026-03-18,2026-04-17,INR,Freight Forwarding & Transit Fee,27AABCA5566E1Z3,exact_match,SET-2026-0051
INV-2026-0052,UrbanNest,CUST-URN-004,49500.0,2026-03-13,2026-04-12,INR,Cloud Hosting & Compute Credits,24AABCU7788F1Z4,exact_match,SET-2026-0052
INV-2026-0053,Orbit Systems,CUST-ORB-005,153000.0,2026-03-15,2026-04-14,INR,Professional Audit & Advisory,29AABCO9900G1Z5,exact_match,SET-2026-0053
INV-2026-0054,GreenLeaf Supplies,CUST-GLS-006,26500.0,2026-03-17,2026-04-16,INR,Cloud Hosting & Compute Credits,27AABCG1234H1Z6,exact_match,SET-2026-0054
INV-2026-0055,Vertex Consulting,CUST-VTX-007,292500.0,2026-01-02,2026-02-01,INR,Security & Vulnerability Assessment,09AABCV5678J1Z7,exact_match,SET-2026-0055
INV-2026-0056,PixelWorks,CUST-PXW-008,166000.0,2026-02-23,2026-03-25,INR,Freight Forwarding & Transit Fee,27AABCP9012K1Z8,exact_match,SET-2026-0056
INV-2026-0057,NorthStar Traders,CUST-NST-009,197000.0,2026-01-25,2026-02-24,INR,SaaS Subscription - Growth Tier,19AABCN3456L1Z9,exact_match,SET-2026-0057
INV-2026-0058,BluePeak Technologies,CUST-BPT-010,36000.0,2026-04-05,2026-05-05,INR,Security & Vulnerability Assessment,36AABCB7890M1ZA,exact_match,SET-2026-0058
INV-2026-0059,Zenith Logistics,CUST-ZNL-011,189000.0,2026-04-27,2026-05-27,INR,Digital Performance Marketing,27AABCZ2345N1ZB,exact_match,SET-2026-0059
INV-2026-0060,CloudPulse Software,CUST-CPS-012,737500.0,2026-03-25,2026-04-24,INR,Security & Vulnerability Assessment,29AABCC6789P1ZC,exact_match,SET-2026-0060
INV-2026-0061,Quantum Electronics,CUST-QEL-013,78000.0,2026-02-09,2026-03-11,INR,Cloud Hosting & Compute Credits,24AABCQ0123Q1ZD,fee_adjusted,SET-2026-0061
